"g1_geneID","g1_geneName","g1_geneType","XIST_r","XIST_perct","ttl_pos_r","ttl_neg_r","cor_bias"
"ENSG00000146476.11","ARMT1","protein_coding",-0.00219927155087578,10.7119741100324,2,0,2
"ENSG00000146576.13","INTS15","protein_coding",0.196410975255904,71.8932038834951,4,4,0
"ENSG00000147162.15","OGT","protein_coding",0.254731576908309,85.42071197411,4,1,3
"ENSG00000148337.22","CIZ1","protein_coding",0.14254319485096,55.7605177993527,10,1,9
"ENSG00000148488.17","ST8SIA6","protein_coding",0.331066943571004,94.9676375404531,3,0,3
"ENSG00000149313.11","AASDHPPT","protein_coding",0.254215483480585,85.2588996763754,1,0,1
"ENSG00000149532.16","CPSF7","protein_coding",0.150294500511931,58.2686084142395,6,6,0
"ENSG00000150593.18","PDCD4","protein_coding",0.17435036405486,65.6957928802589,2,0,2
"ENSG00000150768.18","DLAT","protein_coding",-0.0600880173927014,2.9126213592233,7,2,5
"ENSG00000150867.14","PIP4K2A","protein_coding",0.229317662799586,80.5663430420712,1,1,0
"ENSG00000151503.14","NCAPD3","protein_coding",0.198947302536858,72.6051779935275,0,3,-3
"ENSG00000151665.13","PIGF","protein_coding",-0.0135442490792882,8.6084142394822,5,1,4
"ENSG00000151881.15","TMEM267","protein_coding",0.0559970809833373,26.1003236245955,3,2,1
"ENSG00000152455.16","SUV39H2","protein_coding",0.178208647551258,66.6343042071197,4,1,3
"ENSG00000152457.19","DCLRE1C","protein_coding",0.129339872128702,50.8576051779935,4,4,0
"ENSG00000153094.26","BCL2L11","protein_coding",0.243322800206446,83.2847896440129,1,4,-3
"ENSG00000153827.15","TRIP12","protein_coding",0.202942322866638,73.8511326860841,2,2,0
"ENSG00000153922.12","CHD1","protein_coding",0.250234241066247,84.4498381877023,1,2,-1
"ENSG00000153936.18","HS2ST1","protein_coding",0.305298829158606,92.588996763754,1,0,1
"ENSG00000153989.8","NUS1","protein_coding",0.30909805055944,92.9288025889968,6,0,6
"ENSG00000154174.8","TOMM70","protein_coding",0.188816398564841,69.6440129449838,7,0,7
"ENSG00000154310.17","TNIK","protein_coding",0.110546593839268,44.0614886731392,1,0,1
"ENSG00000154743.19","TSEN2","protein_coding",0.213432644241423,76.6019417475728,3,5,-2
"ENSG00000154845.16","PPP4R1","protein_coding",0.287817336529269,90.2427184466019,11,1,10
"ENSG00000155636.16","RBM45","protein_coding",0.0261251929866584,17.8640776699029,7,5,2
"ENSG00000155846.17","PPARGC1B","protein_coding",0.269190578293662,87.5404530744337,8,0,8
"ENSG00000156642.17","NPTN","protein_coding",0.139647261809866,54.7572815533981,3,0,3
"ENSG00000156675.16","RAB11FIP1","protein_coding",0.248036146045536,84.2071197411003,1,8,-7
"ENSG00000156795.8","NTAQ1","protein_coding",0.102464713097326,41.5210355987055,4,0,4
"ENSG00000156876.10","SASS6","protein_coding",0.298369639487949,91.6666666666667,2,1,1
"ENSG00000157036.13","EXOG","protein_coding",0.313335166371175,93.4304207119741,2,8,-6
"ENSG00000157193.18","LRP8","protein_coding",0.0642271714668358,28.8673139158576,6,3,3
"ENSG00000157617.17","C2CD2","protein_coding",0.174808634562377,65.9708737864078,3,0,3
"ENSG00000157881.16","PANK4","protein_coding",0.201652951339342,73.4789644012945,11,1,10
"ENSG00000159063.14","ALG8","protein_coding",0.110915443401461,44.336569579288,2,9,-7
"ENSG00000159131.17","GART","protein_coding",-0.00182684122895555,10.7928802588997,2,13,-11
