"category","splice","hmseekrunique_lensum","nonsig_lensum","funcdomain","pthreshold","fisherp","fisherp_bias","sigperct","perct_diff"
"repressor","spliced",15,1495,"XISTint2","p0.05",0.0377933265515766,"activator",0.993377483443709,1.13428209102438
"activator","unspliced",4515,11714,"XISTint3","p0.05",0.0583272095146619,"",27.8205681187997,0.928533962758038
"repressor","unspliced",4598,12500,"XISTint3","p0.05",0.0583272095146619,"",26.8920341560416,0.928533962758038
"activator","spliced",65,733,"XISTint3","p0.05",0.254704255252551,"",8.1453634085213,-1.52351076366413
"repressor","spliced",146,1364,"XISTint3","p0.05",0.254704255252551,"",9.66887417218543,-1.52351076366413
"activator","unspliced",2454,13775,"XISTint4","p0.05",2.81859336122503e-06,"repressor",15.1210795489556,-1.8867576249829
"repressor","unspliced",2908,14190,"XISTint4","p0.05",2.81859336122503e-06,"repressor",17.0078371739385,-1.8867576249829
"activator","spliced",86,713,"XISTint4","p0.05",0.278464068469758,"",10.7634543178974,-1.55442647680461
"repressor","spliced",186,1324,"XISTint4","p0.05",0.278464068469758,"",12.317880794702,-1.55442647680461
"activator","unspliced",2703,13526,"XISTint5","p0.05",0.871376253828761,"",16.6553700166369,0.0686347259596118
"repressor","unspliced",2836,14262,"XISTint5","p0.05",0.871376253828761,"",16.5867352906773,0.0686347259596118
"activator","spliced",71,728,"XISTint5","p0.05",0.017517262871724,"repressor",8.88610763454318,-3.29932282903298
"repressor","spliced",184,1326,"XISTint5","p0.05",0.017517262871724,"repressor",12.1854304635762,-3.29932282903298
"activator","unspliced",3616,12614,"XISTint6","p0.05",0.173041978448305,"",22.2797288971041,-0.629383279758663
"repressor","unspliced",3917,13181,"XISTint6","p0.05",0.173041978448305,"",22.9091121768628,-0.629383279758663
"activator","spliced",113,685,"XISTint6","p0.05",0.149039798470774,"",14.1604010025063,-2.39589038822221
